url,listing_avg_package,listing_highest_package,listing_placement_percentage,listing_rank
https://collegedunia.com/university/25455-iit-delhi-indian-institute-of-technology-iitd-new-delhi,"25,82,000","2,00,00,000",,#1
https://collegedunia.com/university/25494-iima-indian-institute-of-management-ahmedabad,"35,22,591","1,10,00,000",100%,#2
https://collegedunia.com/university/25446-all-india-institute-of-medical-sciences-aiims-new-delhi,,,,#3
https://collegedunia.com/university/25621-national-law-school-of-india-university-nlsiu-bangalore,,"18,00,000",,#4
https://collegedunia.com/college/7798-vardhman-mahavir-medical-college-vmmc-new-delhi,,,,#5
https://collegedunia.com/university/25703-iit-bombay-indian-institute-of-technology-iitb-mumbai,"23,50,000","1,00,00,000",90%,#6
https://collegedunia.com/university/26006-iimc-indian-institute-of-management-kolkata,"34,23,000","1,45,00,000",100%,#7
https://collegedunia.com/college/4417-shri-ram-college-of-commerce-srcc-new-delhi,"9,90,000","36,00,000",,#8
https://collegedunia.com/college/7980-institute-of-hotel-management-catering-and-nutrition-ihm-pusa-new-delhi,"5,33,000","8,80,000",96%,#9
https://collegedunia.com/college/25469-school-of-planning-and-architecture-spa-new-delhi,,,,#10
https://collegedunia.com/college/2525-lady-shri-ram-college-for-women-lsr-new-delhi,"12,18,000","45,00,000",,#11
https://collegedunia.com/university/25366-nalsar-university-of-law-nalsar-hyderabad,"19,00,000","65,00,000",,#12
https://collegedunia.com/college/10842-post-graduate-institute-of-medical-education-and-research-pgimer-chandigarh,,,,#13
https://collegedunia.com/university/25602-iim-bangalore-indian-institute-of-management-bangalore,"34,88,000","1,15,00,000",100%,#14
https://collegedunia.com/university/25881-iit-madras-indian-institute-of-technology-iitm-chennai,"21,48,000","4,30,00,000",,#15
https://collegedunia.com/college/1904-hindu-college-new-delhi,"8,40,000","36,50,000",,#16
https://collegedunia.com/college/8164-welcomgroup-graduate-school-of-hotel-administration-wgsha-manipal,,,,#17
https://collegedunia.com/university/25992-iit-roorkee-indian-institute-of-technology-iitr-roorkee,"18,34,000","1,50,00,000",,#18
https://collegedunia.com/university/26016-the-west-bengal-national-university-of-juridical-sciences-wbnujs-kolkata,,"22,00,000",,#19
https://collegedunia.com/college/10343-christian-medical-college-cmc-vellore,,,,#20
https://collegedunia.com/college/17904-isb-hyderabad-indian-school-of-business-hyderabad,"33,25,000","66,00,000",,#21
https://collegedunia.com/university/25948-iit-kanpur-indian-institute-of-technology-iitk-kanpur,"17,20,000","2,50,00,000",,#22
https://collegedunia.com/college/27874-institute-of-hotel-management-catering-technology-and-applied-nutrition-ihm-mumbai,"1,92,000","6,50,000",,#23
https://collegedunia.com/university/26007-iit-kharagpur-indian-institute-of-technology-iitkgp-kharagpur,"24,30,000","2,44,00,000",,#24
https://collegedunia.com/college/3004-miranda-house-new-delhi,"7,60,000","19,00,000",,#25
https://collegedunia.com/college/1859-hansraj-college-hrc-new-delhi,"9,00,000","23,00,000",,#26
https://collegedunia.com/college/9127-symbiosis-law-school-sls-pune,"13,31,000","22,00,000",,#27
https://collegedunia.com/college/10720-maulana-azad-medical-college-mamc-new-delhi,,,,#28
https://collegedunia.com/college/17905-indian-school-of-business-isb-mohali,"33,25,000","66,00,000",,#29
https://collegedunia.com/college/7960-institute-of-hotel-management-ihm-bangalore,"3,75,000","8,00,000",,#30
